subject,win_key,win_sec_start,win_sec_end,r2_thr,n_channels,channels,CV_mean,CV_std,acc_holdout,acc_holdout_mean,acc_holdout_std,accuracy_no_rejection,rej_rate,acc_class1,acc_class2,thr_reject,target_rej,experts_kept,top_channels_ids,top_channels_imp,channels_importance,meta_w_bag,meta_w_svm,meta_w_xgb,meta_w_rf,meta_w_mlp,bag_top10_criterion,bag_top10,bag_selected_count,svm_top10_criterion,svm_top10,svm_selected_count,xgb_top10_criterion,xgb_top10,xgb_selected_count,rf_top10_criterion,rf_top10,rf_selected_count,mlp_top10_criterion,mlp_top10,mlp_selected_count,,ece
subject 14,B,0,10,0.04,12,5|6|7|8|9|10|12|14|15|16|20|22,0.715,0.048989795,0.866666667,0.52,0.167243446,0.866666667,0,0.875,0.857142857,0.506089562,0.066666667,bag|svm|xgb|rf|mlp,12|10|9|14|15,0.052495|0.031593|0.022750|0.014982|0.011764,0.000000|0.000000|0.000000|0.000000|0.022750|0.031593|0.052495|0.014982|0.011764|0.000000|0.000000|0.009273,0.471599913,0.138600271,0.063514419,0.205916872,0.120368525,ranking_RFE,ch10:O_minus_R_mean|ch22:O_peak|ch10:O_mean|ch10:O_slope|ch10:R_mean|ch10:R_slope|ch6:O_slope|ch10:O_peak|ch6:R_slope|ch22:O_var,12,ranking_RFE,ch22:O_peak|ch9:O_var|ch20:O_var|ch10:O_slope|ch12:O_peak|ch22:O_var|ch6:O_slope|ch6:R_slope|ch6:O_peak|ch10:R_slope,10,importancia_modelo,ch10:O_slope|ch6:R_slope|ch12:O_mean|ch12:O_peak|ch6:O_slope|ch5:O_var|ch15:O_slope|ch20:O_peak,10,importancia_modelo,ch12:O_peak|ch12:O_minus_R_mean|ch10:R_slope|ch12:R_mean|ch14:O_slope|ch10:O_peak|ch9:O_peak|ch15:O_var|ch22:O_slope|ch9:R_slope,10,scores_SelectKBest,ch10:O_peak|ch10:R_mean|ch10:O_minus_R_mean|ch10:O_mean|ch5:O_peak|ch10:O_slope|ch10:R_slope|ch9:O_peak|ch5:R_mean|ch5:O_minus_R_mean,10,,0.330027659
subject 15,B,0,10,0.05,9,0|2|3|6|17|20|21|22|23,0.745,0.085732141,0.733333333,0.475555556,0.133036707,0.75,0.2,0.625,0.857142857,0.51670612,0.155555556,bag|svm|xgb|rf,23|3|21|17|22,0.058236|0.034323|0.029817|0.011245|0.009237,0.000000|0.000000|0.034323|0.000000|0.011245|0.000000|0.029817|0.009237|0.058236,0.41510155,0.213053913,0.137604491,0.234240047,,ranking_RFE,ch17:R_slope|ch23:O_peak|ch23:R_mean|ch23:O_mean|ch22:O_peak|ch21:O_var|ch21:O_mean|ch20:O_slope|ch17:O_slope|ch3:O_peak,15,ranking_RFE,ch17:R_slope|ch23:O_mean|ch22:O_peak|ch21:O_var|ch17:O_var|ch17:O_slope|ch6:O_var|ch2:O_var|ch2:O_peak|ch23:O_minus_R_mean,10,importancia_modelo,ch23:O_mean|ch23:R_mean|ch3:O_peak|ch21:R_mean|ch3:O_mean|ch6:O_mean|ch0:O_slope|ch3:O_var|ch2:O_peak,10,importancia_modelo,ch23:O_minus_R_mean|ch23:R_mean|ch23:O_mean|ch21:O_minus_R_mean|ch21:O_mean|ch3:R_slope|ch17:R_slope|ch3:O_slope|ch3:O_var|ch22:O_slope,10,,,,,0.198237246
subject 16,K,4,14,0.05,7,0|1|2|6|21|22|23,0.725,0.041833001,0.733333333,0.466666667,0.126491106,0.666666667,0.2,1,0.5,0.503623013,0.155555556,bag|xgb|mlp,,,,0.498910308,,0.23627718,,0.264812512,ranking_RFE,ch0:O_mean|ch23:R_slope|ch23:R_mean|ch23:O_slope|ch22:O_var|ch22:R_slope|ch22:O_slope|ch21:O_minus_R_mean|ch21:R_slope|ch21:R_mean,25,,,,importancia_modelo,ch1:R_slope|ch0:O_peak|ch22:O_var|ch22:O_mean|ch6:O_mean|ch23:O_mean|ch23:O_var|ch0:O_mean|ch0:R_mean|ch22:O_slope,10,,,,scores_SelectKBest,ch0:O_peak|ch21:O_slope|ch21:R_slope|ch22:O_slope|ch22:R_slope|ch22:O_var|ch0:O_mean|ch0:O_minus_R_mean|ch0:R_mean|ch23:R_slope,10,,0.161329138
subject 17,B,0,10,0.05,21,0|1|2|3|4|5|6|7|8|9|10|11|13|15|17|18|19|20|21|22|23,0.685,0.08,0.666666667,0.475555556,0.118925228,0.75,0.2,0.714285714,0.625,0.522210429,0.155555556,bag|xgb|rf|mlp,0|21|20|19|18,0.142857|0.000000|0.000000|0.000000|0.000000,0.142857|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.12648133,,0.070544079,0.605156217,0.197818374,ranking_RFE,ch0:O_mean|ch7:O_peak|ch21:O_peak|ch9:O_peak|ch22:O_var|ch18:O_var,6,,,,importancia_modelo,ch0:R_mean|ch0:O_peak|ch9:O_slope|ch0:O_mean|ch21:O_mean|ch19:O_peak|ch7:O_slope|ch7:O_peak|ch22:O_mean|ch10:O_mean,10,importancia_modelo,ch0:R_mean|ch0:O_mean|ch0:O_minus_R_mean,3,scores_SelectKBest,ch0:O_mean|ch0:O_minus_R_mean|ch0:R_mean|ch9:O_mean|ch9:O_minus_R_mean|ch9:R_mean|ch21:O_mean|ch21:O_minus_R_mean|ch21:R_mean|ch18:O_var,10,,0.284391563
subject 18,C,5,8,0.05,6,2|10|17|19|23|21,0.615,0.152970585,0.666666667,0.466666667,0.097372899,0.692307692,0.133333333,0.714285714,0.625,0.50365693,0.133333333,bag|svm|rf|mlp,19|2|21|10|17,0.041090|0.031957|0.031923|0.025398|0.012490,0.031957|0.025398|0.012490|0.041090|0.000000|0.031923,0.300795886,0.065409141,,0.261538023,0.372256949,ranking_RFE,ch17:O_minus_R_mean|ch21:O_peak|ch21:O_mean|ch23:R_slope|ch19:R_slope|ch19:O_slope|ch21:O_var|ch17:O_var|ch17:O_peak|ch17:R_mean,18,ranking_RFE,ch19:O_slope|ch2:O_slope|ch2:R_slope|ch2:O_peak|ch21:O_peak|ch17:O_var|ch17:O_peak|ch23:O_var|ch19:R_slope|ch10:O_var,10,,,,importancia_modelo,ch2:R_slope|ch21:O_peak|ch21:O_var|ch19:O_slope|ch10:O_var|ch2:O_slope|ch19:R_slope|ch19:O_var|ch17:R_mean|ch10:R_mean,10,scores_SelectKBest,ch10:O_var|ch21:O_var|ch2:O_var|ch2:O_slope|ch2:R_slope|ch19:O_var|ch23:O_var|ch21:R_slope|ch21:O_slope|ch17:O_var,10,,0.135257442
subject 19,F,16,19,0.05,7,0|4|8|13|18|21|22,0.795,0.082764727,0.8,0.582222222,0.136553702,0.785714286,0.066666667,1,0.571428571,0.516460371,0.066666667,bag|svm|xgb|rf|mlp,4|0|8|13|18,0.047139|0.037570|0.035698|0.012222|0.010228,0.037570|0.047139|0.035698|0.012222|0.010228|0.000000|0.000000,0.544693812,0.057714083,0.040954968,0.229054595,0.127582543,ranking_RFE,ch0:O_mean|ch0:O_peak|ch4:O_slope|ch4:R_slope|ch8:O_peak|ch8:O_mean,6,ranking_RFE,ch13:O_slope|ch22:R_slope|ch8:O_var|ch0:O_peak|ch8:O_peak|ch18:O_peak|ch22:O_slope|ch4:O_slope|ch18:O_var|ch4:R_slope,10,importancia_modelo,ch0:O_peak|ch4:O_slope|ch8:R_mean|ch0:R_mean|ch4:R_slope|ch13:O_peak|ch18:O_mean|ch22:R_slope|ch18:O_slope|ch21:O_slope,10,importancia_modelo,ch4:O_slope|ch4:R_slope|ch0:O_peak|ch8:O_minus_R_mean|ch8:R_mean|ch13:O_slope|ch18:R_slope|ch0:O_minus_R_mean|ch8:O_var|ch0:R_mean,10,scores_SelectKBest,ch4:O_slope|ch4:R_slope|ch13:O_slope|ch13:R_slope|ch0:O_peak|ch0:O_mean|ch0:O_minus_R_mean|ch0:R_mean|ch18:O_var|ch13:O_var,10,,0.22922047
subject 20,B,0,10,0.05,10,0|2|4|7|8|9|10|13|19|23,0.72,0.091378334,0.8,0.457777778,0.186772457,0.785714286,0.066666667,0.857142857,0.75,0.507874485,0.066666667,bag|xgb|rf|mlp,10|2|0|4|8,0.061548|0.041161|0.015802|0.013575|0.010772,0.015802|0.041161|0.013575|0.000000|0.010772|0.000000|0.061548|0.000000|0.000000|0.000000,0.409184009,,0.378781826,0.021784341,0.190249824,ranking_RFE,ch7:O_slope|ch8:O_var|ch13:O_var|ch0:O_var|ch4:O_peak|ch0:O_peak,6,,,,importancia_modelo,ch2:O_mean|ch2:O_minus_R_mean|ch4:O_peak|ch10:O_slope|ch0:R_slope|ch9:R_slope|ch8:O_slope|ch19:O_peak|ch8:R_slope|ch4:O_slope,10,importancia_modelo,ch10:O_slope|ch10:R_slope|ch0:O_var|ch2:O_mean|ch4:O_peak|ch2:O_minus_R_mean|ch2:O_peak|ch10:O_mean|ch10:R_mean|ch8:R_slope,10,scores_SelectKBest,ch4:O_mean|ch4:O_minus_R_mean|ch2:O_mean|ch4:R_mean|ch2:O_minus_R_mean|ch0:O_var|ch2:R_mean|ch4:O_peak|ch7:O_slope|ch7:R_slope,10,,0.338762953
subject 21,L,5,15,0.05,7,1|8|11|13|18|19|21,0.72,0.048476799,0.733333333,0.493333333,0.12835137,0.75,0.2,0.857142857,0.625,0.51154736,0.155555556,bag|svm|xgb|rf,8|11|13|21|1,0.047022|0.043296|0.021397|0.011485|0.010565,0.010565|0.047022|0.043296|0.021397|0.000000|0.009092|0.011485,0.08975329,0.454169497,0.349641731,0.106435482,,ranking_RFE,ch18:O_var|ch13:O_mean|ch11:O_slope|ch13:R_mean|ch13:O_var|ch8:O_var|ch13:O_minus_R_mean|ch11:R_slope|ch11:O_var|ch21:O_peak,13,ranking_RFE,ch1:O_mean|ch13:O_var|ch11:O_var|ch11:R_slope|ch11:O_slope|ch8:O_var|ch18:O_var|ch21:O_peak|ch1:R_slope|ch1:O_slope,10,importancia_modelo,ch13:O_peak|ch8:O_peak|ch1:R_mean|ch21:O_var|ch1:O_slope|ch11:O_var|ch11:O_slope|ch21:R_mean|ch21:O_mean|ch18:O_mean,10,importancia_modelo,ch13:O_peak|ch8:R_slope|ch8:O_slope|ch11:R_slope|ch11:O_var|ch11:O_slope|ch21:O_var|ch8:O_peak|ch1:O_slope|ch19:O_var,10,,,,,0.144428267
subject 22,B,0,10,0.03,10,0|1|2|3|4|8|15|16|18|20,0.72,0.10173495,0.666666667,0.493333333,0.093650256,0.769230769,0.133333333,0.857142857,0.5,0.531216676,0.155555556,bag|svm|xgb|rf,1|3|0|20|16,0.034124|0.030394|0.026988|0.025936|0.013221,0.026988|0.034124|0.000000|0.030394|0.000000|0.000000|0.000000|0.013221|0.012194|0.025936,0.675871988,0.180518474,0.137322655,0.006286883,,ranking_RFE,ch0:O_mean|ch4:R_mean|ch4:R_slope|ch4:O_peak|ch4:O_var|ch20:O_var|ch8:O_slope|ch8:R_slope|ch8:O_peak|ch15:O_var,42,ranking_RFE,ch16:O_slope|ch2:O_peak|ch8:O_slope|ch8:R_slope|ch16:R_slope|ch3:O_peak|ch0:O_peak|ch18:O_minus_R_mean|ch20:R_mean|ch18:R_mean,10,importancia_modelo,ch1:O_var|ch3:O_var|ch1:O_peak|ch18:O_mean|ch20:O_var|ch0:O_var|ch20:O_slope|ch16:O_minus_R_mean|ch18:O_slope,10,importancia_modelo,ch1:O_var|ch20:O_var|ch3:O_var|ch0:O_var|ch1:O_peak|ch3:O_slope|ch16:O_slope|ch18:R_slope|ch0:O_peak|ch20:R_slope,10,,,,,0.262491457
subject 23,B,0,10,0.05,20,0|1|2|3|4|6|7|8|9|13|14|15|16|17|18|19|20|21|22|23,0.75,0.101242284,0.733333333,0.542222222,0.087319479,0.692307692,0.133333333,0.857142857,0.625,0.505663991,0.111111111,bag|svm|xgb|rf|mlp,23|1|21|20|19,0.074452|0.068405|0.000000|0.000000|0.000000,0.000000|0.068405|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.074452,0.080533088,0.126559751,0.328402174,0.07385254,0.390652446,ranking_RFE,ch21:O_minus_R_mean|ch19:O_peak|ch8:O_var|ch21:O_mean|ch3:O_var|ch3:O_peak,6,ranking_RFE,ch1:R_slope|ch2:O_peak|ch21:O_peak|ch4:O_var|ch20:O_peak|ch19:O_peak|ch17:O_var|ch1:O_slope|ch8:O_var|ch3:O_peak,10,importancia_modelo,ch23:O_peak|ch1:O_slope|ch2:O_minus_R_mean|ch15:O_mean|ch8:O_peak|ch23:R_slope|ch2:R_mean|ch21:O_var|ch22:O_var,10,importancia_modelo,ch23:O_peak|ch1:O_slope,2,scores_SelectKBest,ch21:O_mean|ch21:O_minus_R_mean|ch21:R_mean|ch1:O_slope|ch22:R_mean|ch22:O_minus_R_mean|ch22:O_mean|ch1:R_slope|ch3:O_peak|ch0:R_slope,10,,0.280756225
subject 24,I,2,12,0.05,9,0|2|3|6|7|8|21|22|23,0.765,0.09027735,0.733333333,0.524444444,0.163057212,0.692307692,0.133333333,0.571428571,0.875,0.507575442,0.133333333,bag|svm|xgb|mlp,,,,0.548458284,0.125154826,0.135011234,,0.191375655,ranking_RFE,ch0:O_mean|ch6:R_mean|ch6:O_peak|ch6:O_var|ch6:O_minus_R_mean|ch7:O_slope|ch8:O_slope|ch8:R_slope|ch8:O_peak|ch21:R_slope,27,ranking_RFE,ch0:O_mean|ch23:R_mean|ch23:O_mean|ch22:O_peak|ch7:O_slope|ch6:O_peak|ch3:O_var|ch23:O_minus_R_mean|ch0:R_mean|ch0:O_minus_R_mean,10,importancia_modelo,ch7:R_slope|ch23:R_mean|ch21:O_mean|ch3:R_slope|ch8:O_slope|ch22:R_slope|ch2:O_mean|ch2:O_peak|ch8:O_var|ch3:R_mean,10,,,,scores_SelectKBest,ch2:O_mean|ch2:O_minus_R_mean|ch2:R_mean|ch0:R_mean|ch0:O_minus_R_mean|ch0:O_mean|ch23:R_mean|ch23:O_minus_R_mean|ch23:O_mean|ch22:O_var,10,,0.146820119
subject 25,D,10,13,0.05,9,0|1|2|3|6|12|14|15|22,0.78,0.073143694,0.733333333,0.537777778,0.120410819,0.666666667,0.2,0.5,1,0.512047108,0.155555556,bag|svm|rf|mlp,2|1|22|0|14,0.039353|0.033707|0.032969|0.025278|0.011550,0.025278|0.033707|0.039353|0.000000|0.000000|0.000000|0.011550|0.000000|0.032969,0.469273579,0.116832765,,0.281353554,0.132540102,ranking_RFE,ch2:O_var|ch12:O_slope|ch14:O_var|ch6:O_var|ch3:O_var|ch15:O_var|ch22:O_slope|ch2:R_slope|ch2:O_slope|ch1:O_var,15,ranking_RFE,ch15:O_var|ch12:R_slope|ch22:R_slope|ch0:O_var|ch12:O_slope|ch2:R_slope|ch1:R_mean|ch1:O_var|ch3:O_var|ch22:O_slope,10,,,,importancia_modelo,ch2:O_minus_R_mean|ch22:R_slope|ch2:O_var|ch1:O_var|ch22:O_slope|ch0:O_var|ch0:O_slope|ch14:R_slope|ch1:R_slope|ch1:O_slope,10,scores_SelectKBest,ch22:R_slope|ch22:O_slope|ch0:O_peak|ch3:R_mean|ch3:O_minus_R_mean|ch3:O_mean|ch14:O_mean|ch14:O_minus_R_mean|ch14:R_mean|ch0:R_mean,10,,0.159934093
subject 26,B,0,10,0.05,22,0|1|2|4|5|6|7|8|9|10|11|12|13|14|16|17|18|19|20|21|22|23,0.83,0.131719399,0.666666667,0.48,0.144427349,0.615384615,0.133333333,0.625,0.714285714,0.526695069,0.111111111,bag|svm|xgb|rf,16|17|12|22|0,0.066977|0.049965|0.013921|0.011994|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.013921|0.000000|0.000000|0.066977|0.049965|0.000000|0.000000|0.000000|0.000000|0.011994|0.000000,0.373238512,0.238818913,0.150189418,0.237753157,,ranking_RFE,ch13:O_slope|ch16:O_mean|ch9:O_var|ch9:R_slope|ch9:O_slope|ch16:R_mean|ch5:O_peak|ch5:O_var|ch8:O_minus_R_mean|ch19:O_minus_R_mean,49,ranking_RFE,ch11:O_peak|ch12:O_var|ch7:O_var|ch17:R_mean|ch0:O_var|ch16:O_mean|ch16:R_mean|ch9:O_var|ch8:O_peak|ch16:O_minus_R_mean,10,importancia_modelo,ch16:O_peak|ch16:O_mean|ch12:R_mean|ch12:O_mean|ch23:R_slope|ch14:R_mean|ch19:O_var|ch14:O_mean|ch23:O_mean|ch7:O_var,10,importancia_modelo,ch16:O_mean|ch16:R_mean|ch16:O_peak|ch17:O_peak|ch12:R_slope|ch17:R_mean|ch16:O_minus_R_mean|ch22:O_mean|ch17:O_mean|ch17:O_minus_R_mean,10,,,,,0.115646481
subject 27,B,0,10,0.05,12,0|3|5|10|13|15|17|18|20|21|22|23,0.81,0.111355287,0.666666667,0.542222222,0.08385761,0.692307692,0.133333333,0.625,0.714285714,0.51020438,0.088888889,bag|svm|rf|mlp,22|13|20|23|18,0.045167|0.018452|0.015862|0.013825|0.013338,0.013307|0.000000|0.011262|0.000000|0.018452|0.011645|0.000000|0.013338|0.015862|0.000000|0.045167|0.013825,0.238577614,0.28211764,,0.206592823,0.272711922,ranking_RFE,ch22:O_minus_R_mean|ch13:O_var|ch22:R_mean|ch22:O_mean|ch18:O_var|ch5:O_slope,6,ranking_RFE,ch22:O_minus_R_mean|ch22:O_mean|ch15:O_slope|ch13:O_var|ch15:R_slope|ch5:R_slope|ch5:O_slope|ch18:O_var|ch15:O_var|ch3:O_slope,10,,,,importancia_modelo,ch22:O_mean|ch13:O_var|ch20:R_mean|ch22:R_mean|ch23:O_minus_R_mean|ch18:O_var|ch0:O_slope|ch15:O_var|ch5:O_minus_R_mean|ch22:O_peak,10,scores_SelectKBest,ch22:O_mean|ch22:O_minus_R_mean|ch20:O_mean|ch22:R_mean|ch20:O_minus_R_mean|ch20:R_mean|ch23:R_mean|ch23:O_minus_R_mean|ch23:O_mean|ch5:O_mean,10,,0.123163457
subject 28,F,16,19,0.03,8,1|6|8|11|15|21|22|23,0.735,0.093005376,0.733333333,0.497777778,0.111199964,0.666666667,0.2,1,0.5,0.509522316,0.155555556,bag|svm|xgb|rf|mlp,21|1|6|8|11,0.142857|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.142857|0.000000|0.000000,0.238159813,0.159792394,0.167412738,0.268268359,0.166366697,ranking_RFE,ch23:O_minus_R_mean|ch11:O_var|ch22:O_minus_R_mean|ch15:O_mean|ch15:O_slope|ch15:R_mean|ch15:R_slope|ch15:O_peak|ch22:O_var|ch11:R_slope,36,ranking_RFE,ch11:O_slope|ch11:R_slope|ch11:O_var|ch6:R_mean|ch8:O_var|ch21:R_mean|ch21:O_slope|ch1:O_peak|ch21:R_slope|ch8:O_peak,10,importancia_modelo,ch21:O_mean|ch15:R_mean|ch6:O_mean|ch21:O_peak|ch6:R_slope|ch1:R_slope|ch1:O_mean|ch23:O_var|ch1:O_minus_R_mean|ch21:O_minus_R_mean,10,importancia_modelo,ch21:R_mean,1,scores_SelectKBest,ch15:R_mean|ch15:O_minus_R_mean|ch15:O_mean|ch21:O_slope|ch21:R_slope|ch15:O_peak|ch23:R_slope|ch23:O_slope|ch11:O_mean|ch11:O_minus_R_mean,10,,0.159646857
,,,,,,,0.733928571,0.087985184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198003745
