subject,win_key,win_sec_start,win_sec_end,r2_thr,n_channels,channels,CV_mean,CV_std,acc_holdout,acc_holdout_mean,acc_holdout_std,acc_accepted,ba_accepted,ece_accepted,rej_rate,thr_reject,aurc,util_holdout,meta_input,use_logit_meta,ece,experts_kept
subject 01,C,5,8,0.05,6,2|6|8|16|18|21,0.645,0.079686887,0.6,0.493333333,0.121228282,0.692307692,0.69047619,0.034749407,0.155555556,0.526269708,0.219885115,0.681788839,logit_pairs,True,0.114239492,bag|svm|xgb|rf|mlp
subject 02,D,10,13,0.03,11,0|1|4|5|10|11|15|16|18|22|23,0.695,0.048476799,0.666666667,0.502222222,0.126178396,0.769230769,0.8125,0.147481592,0.088888889,0.516869727,0.196397121,0.75340738,logit_pairs,True,0.150067792,bag|xgb|rf|mlp
subject 03,D,10,13,0.05,8,8|10|11|13|17|18|21|22,0.74,0.110227038,0.733333333,0.502222222,0.135245547,0.714285714,0.714285714,0.202196694,0.133333333,0.501741929,0.393749954,0.663736541,logit_pairs,True,0.221994016,bag|svm|xgb|rf|mlp
subject 04,D,10,13,0.04,15,0|2|6|7|8|9|13|15|16|17|18|19|20|21|22,0.865,0.078421936,0.733333333,0.511111111,0.147405546,0.769230769,0.773809524,0.261771391,0.155555556,0.504654256,0.37507437,0.663922232,logit_pairs,True,0.214036474,bag|rf|mlp
subject 05,D,10,13,0.05,8,3|6|7|10|13|14|19|23,0.665,0.158587515,0.666666667,0.462222222,0.120410819,0.692307692,0.69047619,0.354106645,0.155555556,0.512456954,0.45041662,0.579727307,logit_pairs,True,0.136257334,bag|svm|xgb|rf|mlp
subject 06,K,4,14,0.05,8,4|7|8|10|11|15|18|22,0.74,0.086023253,0.733333333,0.48,0.109409188,0.785714286,0.785714286,0.221105355,0.155555556,0.507946404,0.298381248,0.730437947,logit_pairs,True,0.17283982,bag|svm|xgb|rf|mlp
subject 07,B,0,10,0.05,12,0|1|2|3|4|5|9|11|15|17|21|23,0.665,0.093005376,0.6,0.546666667,0.109409188,0.692307692,0.678571429,0.155005083,0.088888889,0.512216835,0.272136197,0.595375713,logit_pairs,True,0.06656338,bag|svm|xgb|rf|mlp
subject 08,E,15,18,0.05,6,0|3|9|11|19|21,0.775,0.089442719,0.733333333,0.506666667,0.130639453,0.785714286,0.785714286,0.206244702,0.088888889,0.507134592,0.141500537,0.73415311,logit_pairs,True,0.158790903,bag|svm|xgb|rf|mlp
subject 09,E,15,18,0.05,7,1|3|4|8|15|22|23,0.725,0.075828754,0.666666667,0.497777778,0.09696633,0.714285714,0.708333333,0.184908118,0.155555556,0.51084708,0.184860325,0.639884082,logit_pairs,True,0.120887106,bag|svm|xgb|rf|mlp
subject 10,E,15,18,0.05,10,1|5|8|9|11|12|14|16|17|23,0.775,0.133229126,0.733333333,0.542222222,0.076465113,0.75,0.75,0.257699576,0.155555556,0.51845722,0.243645799,0.641130661,logit_pairs,True,0.190818612,bag|svm|xgb|rf|mlp
subject 11,B,0,10,0.05,21,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|18|19|20|21|22,0.725,0.054772256,0.866666667,0.568888889,0.093860943,0.846153846,0.845238095,0.339940703,0.133333333,0.503724763,0.209388204,0.738030697,logit_pairs,True,0.349511042,bag|svm|xgb|rf|mlp
subject 12,C,5,8,0.05,7,0|3|5|12|15|18|21,0.71,0.076811457,0.866666667,0.537777778,0.14900493,0.846153846,0.857142857,0.297734402,0.133333333,0.505255793,0.048063048,0.738264812,logit_pairs,True,0.324284514,bag|svm|xgb|mlp
subject 13,L,5,15,0.05,7,0|2|6|9|13|14|21,0.68,0.0678233,0.733333333,0.528888889,0.129881237,0.75,0.75,0.113454785,0.133333333,0.563312071,0.194254264,0.677191859,logit_pairs,True,0.13083646,bag|svm|xgb|mlp
subject 14,B,0,10,0.04,12,5|6|7|8|9|10|12|14|15|16|20|22,0.715,0.048989795,0.866666667,0.52,0.167243446,0.866666667,0.866071429,0.322917932,0.111111111,0.5069435,0.13457339,0.718675279,logit_pairs,True,0.322917931,bag|svm|xgb|rf|mlp
subject 15,K,4,14,0.05,18,0|2|3|4|5|6|8|12|13|14|15|16|17|18|19|20|21|22,0.7,0.15,0.666666667,0.475555556,0.133036707,0.769230769,0.761904762,0.351781608,0.066666667,0.509549279,0.344254264,0.67395936,logit_pairs,True,0.318164404,bag|svm|rf|mlp
subject 16,K,4,14,0.05,7,0|1|2|6|21|22|23,0.725,0.041833001,0.6,0.466666667,0.126491106,0.692307692,0.714285714,0.119926792,0.133333333,0.506438156,0.245575351,0.662081794,logit_pairs,True,0.122706581,bag|xgb|rf|mlp
subject 17,B,0,10,0.05,21,0|1|2|3|4|5|6|7|8|9|10|11|13|15|17|18|19|20|21|22|23,0.685,0.08,0.666666667,0.475555556,0.118925228,0.75,0.785714286,0.329937237,0.133333333,0.519177655,0.301631147,0.681007754,logit_pairs,True,0.280978804,bag|xgb|rf|mlp
subject 18,D,10,13,0.05,15,4|5|7|9|10|11|12|13|14|15|16|17|19|20|23,0.73,0.135462172,0.6,0.466666667,0.097372899,0.666666667,0.666666667,0.157089884,0.088888889,0.507619916,0.431894032,0.582949751,logit_pairs,True,0.082138519,svm|xgb|rf|mlp
subject 19,F,16,19,0.05,7,0|4|8|13|18|21|22,0.795,0.082764727,0.8,0.582222222,0.136553702,0.785714286,0.785714286,0.21385579,0.155555556,0.510475451,0.127483442,0.732250338,logit_pairs,True,0.232434002,bag|svm|xgb|rf|mlp
subject 20,E,15,18,0.05,6,1|9|13|17|22|23,0.775,0.101242284,0.8,0.457777778,0.186772457,0.923076923,0.9375,0.355951701,0.155555556,0.511108145,0.075977171,0.826289853,logit_pairs,True,0.240750005,bag|svm|xgb|rf|mlp
subject 21,L,5,15,0.05,7,1|8|11|13|18|19|21,0.72,0.048476799,0.733333333,0.493333333,0.12835137,0.75,0.8125,0.152380877,0.111111111,0.549652743,0.277217227,0.729960336,logit_pairs,True,0.146783307,bag|svm|xgb|rf
subject 22,B,0,10,0.05,16,0|1|2|3|4|5|6|7|8|10|12|14|17|21|22|23,0.78,0.073143694,0.733333333,0.493333333,0.093650256,0.714285714,0.714285714,0.181784289,0.155555556,0.503920167,0.30512321,0.668839642,logit_pairs,True,0.202854831,bag|svm|xgb|rf|mlp
subject 23,C,5,8,0.05,19,0|1|2|3|4|5|6|7|8|13|14|16|17|18|19|20|21|22|23,0.795,0.108857705,0.733333333,0.542222222,0.087319479,0.833333333,0.8,0.291433095,0.066666667,0.510299562,0.095627521,0.682697282,logit_pairs,True,0.198709285,bag|xgb|rf|mlp
subject 24,D,10,13,0.05,7,0|2|9|12|21|22|23,0.8,0.130384048,0.6,0.524444444,0.163057212,0.692307692,0.714285714,0.096930297,0.111111111,0.515605746,0.361922152,0.645608696,logit_pairs,True,0.183838082,svm|xgb|rf|mlp
subject 25,K,4,14,0.04,12,0|1|2|3|4|5|6|12|14|15|16|22,0.77,0.10173495,0.8,0.537777778,0.120410819,0.769230769,0.8125,0.267866101,0.111111111,0.514732828,0.311899767,0.723311252,logit_pairs,True,0.260118998,bag|svm|xgb|rf|mlp
subject 26,B,0,10,0.05,22,0|1|2|4|5|6|7|8|9|10|11|12|13|14|16|17|18|19|20|21|22|23,0.83,0.131719399,0.533333333,0.48,0.144427349,0.615384615,0.607142857,0.199338657,0.133333333,0.524170868,0.220280275,0.535085971,logit_pairs,True,0.128164777,bag|svm|xgb|rf|mlp
subject 27,F,16,19,0.05,11,0|2|4|5|7|8|18|19|20|22|23,0.675,0.115108644,0.6,0.542222222,0.08385761,0.666666667,0.714285714,0.159769417,0.066666667,0.56834275,0.423005143,0.629898916,logit_pairs,True,0.347344709,bag|svm|xgb|rf|mlp
subject 28,F,16,19,0.03,8,1|6|8|11|15|21|22|23,0.735,0.093005376,0.666666667,0.497777778,0.111199964,0.692307692,0.714285714,0.121328605,0.088888889,0.512980404,0.28951715,0.661731341,logit_pairs,True,0.122751625,bag|svm|xgb|rf|mlp
,,,,,,,0.736964286,0.092680679,,,,0.217810383,,,,,,,,,,
